run,gen,nevals,partN,part,partError,best,bestError
0,0,1,0,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,2,1,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,3,2,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,4,3,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,5,4,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,6,5,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,7,6,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,8,7,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,9,8,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,10,9,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,11,10,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,12,11,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
