,gen,nevals,bestError,env
0,1,1,67.66674815295717,0
1,2,51,67.66188503448275,0
2,3,101,67.65755854549823,0
3,4,151,67.65279917789948,0
4,5,201,67.6476551011457,0
5,6,251,67.638655326808,0
6,7,301,67.62736971535097,0
7,8,351,67.61348120746312,0
8,9,401,67.59704987723545,0
9,10,451,67.5776471473219,0
10,11,501,67.54754021187922,0
11,12,551,67.50756103925919,0
12,13,601,67.45601286639422,0
13,14,651,67.37141122863682,0
14,15,701,67.23798932548196,0
15,16,751,67.02916242300451,0
16,17,801,66.69644220587598,0
17,18,851,66.05145391484209,0
18,19,901,63.53461689533872,0
19,20,951,61.35765250364695,0
20,21,1001,53.097365603288765,0
21,22,1051,50.45171802402456,0
22,23,1101,49.138154788626295,0
23,24,1151,44.5657196171917,0
24,25,1201,44.5657196171917,0
25,26,1251,40.50166701430665,0
26,27,1301,40.50166701430665,0
27,28,1351,40.50166701430665,0
28,29,1401,39.68705740381127,0
29,30,1451,39.21065172115368,0
30,31,1501,39.21065172115368,0
31,32,1551,39.21065172115368,0
32,33,1601,36.331232434048914,0
33,34,1651,36.331232434048914,0
34,35,1701,36.331232434048914,0
35,36,1751,36.331232434048914,0
36,37,1801,36.331232434048914,0
37,38,1851,36.331232434048914,0
38,39,1901,36.331232434048914,0
39,40,1951,36.331232434048914,0
40,41,2001,36.12506379944506,0
41,42,2051,36.12506379944506,0
42,43,2101,36.12506379944506,0
43,44,2151,36.12506379944506,0
44,45,2201,36.12506379944506,0
45,46,2251,36.12506379944506,0
46,47,2301,36.12506379944506,0
47,48,2351,36.12506379944506,0
48,49,2401,36.12506379944506,0
49,50,2451,36.12506379944506,0
50,51,2501,36.12506379944506,0
51,52,2551,36.12506379944506,0
52,53,2601,36.12506379944506,0
53,54,2651,36.12506379944506,0
54,55,2701,36.12506379944506,0
55,56,2751,36.12506379944506,0
56,57,2801,36.05822376430663,0
57,58,2851,36.05822376430663,0
58,59,2901,36.05822376430663,0
59,60,2951,36.05822376430663,0
60,61,3001,36.05822376430663,0
61,62,3051,36.05822376430663,0
62,63,3101,36.05822376430663,0
63,64,3151,36.05822376430663,0
64,65,3201,36.05822376430663,0
65,66,3251,36.05822376430663,0
66,67,3301,36.05822376430663,0
67,68,3351,36.05822376430663,0
68,69,3401,36.05822376430663,0
69,70,3451,36.05822376430663,0
70,71,3501,36.05822376430663,0
71,72,3551,36.05822376430663,0
72,73,3601,36.05822376430663,0
73,74,3651,36.05822376430663,0
74,75,3701,36.05822376430663,0
75,76,3751,36.05822376430663,0
76,77,3801,36.05822376430663,0
77,78,3851,36.05822376430663,0
78,79,3901,36.05822376430663,0
79,80,3951,36.05822376430663,0
80,81,4001,36.05822376430663,0
81,82,4051,36.05822376430663,0
82,83,4101,36.05822376430663,0
83,84,4151,36.05822376430663,0
84,85,4201,36.05822376430663,0
85,86,4251,36.05822376430663,0
86,87,4301,36.05822376430663,0
87,88,4351,36.05822376430663,0
88,89,4401,36.05822376430663,0
89,90,4451,36.05822376430663,0
90,91,4501,36.05822376430663,0
91,92,4551,36.05822376430663,0
92,93,4601,36.05822376430663,0
93,94,4651,36.05822376430663,0
94,95,4701,36.05822376430663,0
95,96,4751,36.05822376430663,0
96,97,4801,36.05822376430663,0
97,98,4851,36.05822376430663,0
98,99,4901,36.05822376430663,0
99,100,4951,36.05822376430663,0
100,101,5001,36.05822376430663,0
101,102,5051,36.05822376430663,0
102,103,5101,36.05822376430663,0
103,104,5151,36.05822376430663,0
104,105,5201,36.05822376430663,0
105,106,5251,36.05822376430663,0
106,107,5301,36.05822376430663,0
107,108,5351,36.05822376430663,0
108,109,5401,36.05822376430663,0
109,110,5451,36.05822376430663,0
110,111,5501,36.05822376430663,0
111,112,5551,36.05822376430663,0
112,113,5601,36.05822376430663,0
113,114,5651,36.05822376430663,0
114,115,5701,36.05822376430663,0
115,116,5751,36.05822376430663,0
116,117,5801,35.19207212221655,0
117,118,5851,35.19207212221655,0
118,119,5901,35.19207212221655,0
119,120,5951,26.642927433650208,1
120,121,6001,26.642927433650208,1
121,122,6051,26.642927433650208,1
122,123,6101,19.976656443861398,1
123,124,6151,19.976656443861398,1
124,125,6201,18.139573296904597,1
125,126,6251,49.794931041961966,2
126,127,6301,45.683422984461565,2
127,128,6351,43.463393607087255,2
128,129,6401,43.463393607087255,2
129,130,6451,42.639019833392496,2
130,131,6501,42.639019833392496,2
131,132,6551,40.85372931836783,2
132,133,6601,40.85372931836783,2
133,134,6651,40.85372931836783,2
134,135,6701,40.85372931836783,2
135,136,6751,40.85372931836783,2
136,137,6801,36.75479106913161,2
137,138,6851,36.75479106913161,2
138,139,6901,36.48250628740525,2
139,140,6951,36.48250628740525,2
140,141,7001,36.48250628740525,2
141,142,7051,36.48250628740525,2
142,143,7101,36.48250628740525,2
143,144,7151,36.48250628740525,2
144,145,7201,36.48250628740525,2
145,146,7251,36.48250628740525,2
146,147,7301,36.48250628740525,2
147,148,7351,36.48250628740525,2
148,149,7401,36.48250628740525,2
149,150,7451,36.48250628740525,2
150,151,7501,36.48250628740525,2
151,152,7551,36.48250628740525,2
152,153,7601,36.48250628740525,2
153,154,7651,36.48250628740525,2
154,155,7701,36.48250628740525,2
155,156,7751,36.48250628740525,2
156,157,7801,36.48250628740525,2
157,158,7851,36.48250628740525,2
158,159,7901,36.48250628740525,2
159,160,7951,36.48250628740525,2
160,161,8001,36.48250628740525,2
161,162,8051,36.48250628740525,2
162,163,8101,36.48250628740525,2
163,164,8151,36.48250628740525,2
164,165,8201,36.48250628740525,2
165,166,8251,36.48250628740525,2
166,167,8301,36.48250628740525,2
167,168,8351,36.48250628740525,2
168,169,8401,36.48250628740525,2
169,170,8451,36.48250628740525,2
170,171,8501,36.48250628740525,2
171,172,8551,36.48250628740525,2
172,173,8601,36.48250628740525,2
173,174,8651,36.48250628740525,2
174,175,8701,36.48250628740525,2
175,176,8751,36.48250628740525,2
176,177,8801,36.48250628740525,2
177,178,8851,36.48250628740525,2
178,179,8901,36.48250628740525,2
179,180,8951,36.48250628740525,2
180,181,9001,36.48250628740525,2
181,182,9051,36.48250628740525,2
182,183,9101,36.48250628740525,2
183,184,9151,35.95658677617557,2
184,185,9201,35.95658677617557,2
185,186,9251,35.95658677617557,2
186,187,9301,35.95658677617557,2
187,188,9351,35.95658677617557,2
188,189,9401,35.95658677617557,2
189,190,9451,35.95658677617557,2
190,191,9501,35.95658677617557,2
191,192,9551,35.95658677617557,2
192,193,9601,35.95658677617557,2
193,194,9651,35.95658677617557,2
194,195,9701,35.95658677617557,2
195,196,9751,35.95658677617557,2
196,197,9801,35.95658677617557,2
197,198,9851,35.95658677617557,2
198,199,9901,35.95658677617557,2
199,200,9951,35.95658677617557,2
200,201,10001,35.95658677617557,2
201,202,10051,35.95658677617557,2
202,203,10101,35.95658677617557,2
203,204,10151,35.95658677617557,2
204,205,10201,35.95658677617557,2
205,206,10251,35.95658677617557,2
206,207,10301,35.95658677617557,2
207,208,10351,35.95658677617557,2
