opt0,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,opt9
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(66.78979778758284, [37.30349551334665, 44.169628405529224, 50.336469988605025, 90.20989613629237, 6.720425364939371])","(62.73723576928149, [92.0982566970457, 50.884810285394785, 4.686399236371927, 34.3586553652036, 47.86167108582487])","(59.35008646665571, [0.31985637156235036, 48.234158187881626, 95.77448266968094, 58.057300617347565, 30.743903144897295])","(58.840295230095904, [52.318832291365325, 83.80135086434828, 40.02905853992963, 18.3672589451715, 98.10542230718576])","(51.03950027116515, [57.91163948430335, 78.27017322848229, 55.39083599896887, 15.857373399975003, 5.606631258184891])","(46.68410255542895, [63.2577720637918, 7.685937566506491, 37.04192636390711, 97.03729990395875, 41.26504563859666])","(46.34852955710514, [61.37473463318999, 39.291854709658324, 16.56861134784084, 82.16200820178375, 84.70658606398001])","(44.65115010672771, [96.65683728349441, 61.32927576509106, 48.27125361977424, 13.108263893944496, 59.55154869615617])","(43.459360952779704, [95.22238111202441, 46.57970198816982, 20.60434226765164, 25.340198225609246, 2.357367175898046])","(41.25454312636054, [85.80712932323216, 78.03970529283265, 52.356351538943706, 45.85954370042225, 56.08245776270931])"
"(67.14382846522203, [36.69609005254837, 43.96555916100326, 50.23558372312745, 89.46341555530383, 6.868759626915573])","(57.458210127350156, [52.36016689743253, 83.90110947955354, 40.77418802516291, 17.86289285519425, 97.6826498310823])","(56.070176453554765, [92.48975322516512, 50.474691215063714, 5.24107597059379, 34.4840116493663, 47.26572449496701])","(50.383663454110284, [58.52365204529132, 77.93110928975305, 55.00213332513872, 16.198251223923645, 6.099773034090868])","(46.24015075822246, [0.3960259629027536, 48.578294689630496, 96.2362300896683, 57.6799797392536, 30.627710088072636])","(44.88826599793033, [62.57023037302177, 8.25023166239987, 37.471336949448045, 96.92163025969478, 41.37033419074838])","(44.71959446219819, [96.3557898785813, 60.780390979841314, 48.83785331261067, 12.671017144924441, 59.24191016324159])","(44.355607469930696, [95.28907321841521, 46.72901689919328, 21.308082860726397, 24.913912486914814, 1.8130447834358745])","(41.20357334624404, [60.69547702158624, 39.164200665794795, 17.134042384785623, 81.96393099626938, 84.30239959058088])","(32.648190825313165, [86.26735975414256, 77.57506386549508, 52.70640309800778, 46.47681206659519, 55.82027468815122])"
"(62.90486045720929, [36.2612230910416, 44.40460663032539, 49.7519005243343, 88.90103524503948, 7.129349333742067])","(57.63960424954199, [92.17599690519458, 51.20343422777641, 5.283331249869017, 35.037469191457426, 47.015944924992226])","(48.293585363374305, [62.778318123503034, 7.45427754600979, 38.00421922860212, 97.0718874769634, 41.241431987805264])","(48.03101321085269, [94.89794089991477, 47.05308687928306, 21.88451039774378, 24.52282482683372, 1.3063141901918338])","(47.231105847742676, [96.37236276549943, 61.38510090550959, 48.24815176419932, 13.201653923113282, 59.31067017089208])","(44.852409984552054, [58.970129252168626, 78.14151750920287, 55.336525969322864, 15.405092517189074, 6.224140676078968])","(44.25910328724386, [53.05705424970093, 83.71772322820368, 41.09112678846613, 18.288746620300245, 98.12864971014625])","(41.78396020772025, [0.7194245002305824, 48.44807641124685, 95.61483766778355, 57.96891389559071, 31.26712004839151])","(39.26454872527157, [86.02883857914203, 78.28207567894377, 52.592265233269856, 45.85781634610411, 55.603344306306795])","(37.38034051870799, [60.549888645416154, 39.8160544772671, 17.48372793848284, 82.56861571569827, 84.04555910152617])"
"(64.6637697681878, [36.94171838448041, 44.036848948575965, 49.40320688137133, 89.32494171685154, 6.812495282742279])","(60.63192167566251, [92.81132113134048, 51.73122080850383, 4.750667851573349, 35.04272955156452, 46.83142802711067])","(58.549237703026805, [62.30110554459308, 6.848631115221958, 38.136444157763606, 96.86073453981926, 41.82742819994977])","(52.386494204562624, [53.40769999064058, 83.31850321417042, 41.62264649856433, 18.934938499169903, 98.2612913258488])","(47.107514749404174, [95.68400864615793, 61.7993234879363, 47.71018573199233, 13.348534173633425, 59.10184728231912])","(46.41432068044997, [95.04671549657363, 47.57021425449657, 21.23129528549925, 25.037528051324212, 1.1690698641589146])","(46.11461060552467, [59.080305883103485, 77.3346047156029, 55.66904422745916, 15.143490975775817, 5.826964273133472])","(40.72717723571523, [86.48422150318271, 78.7798340961985, 53.16749038972197, 45.593988762809545, 55.223378549663096])","(39.75351257235826, [1.3030843321739722, 48.97502530498286, 95.75840081874313, 57.68659453028079, 31.79754578459195])","(38.03210317791781, [59.81546236355954, 39.44207552595314, 17.138054813945782, 82.12342448979635, 84.1009905352539])"
"(66.6728606426727, [36.24139212249336, 43.71396695656638, 49.78517232097431, 89.38089754109379, 7.318718252084291])","(66.0413006208227, [93.48146751222983, 51.608079019642915, 5.218431524628543, 34.98718433303662, 46.27120324821773])","(64.30457115858049, [62.86096338861084, 6.106466361810254, 37.96940997576756, 97.1628243781935, 41.95623807876759])","(52.3240328810754, [95.30298092174303, 47.66428302943361, 21.871399385514902, 24.830363464238136, 1.8566952508668202])","(50.75397063996478, [52.6332949752541, 83.15353156901782, 42.2108335048669, 18.824409359561415, 98.38335927149443])","(49.522389715532015, [59.71022433053648, 77.02582500417385, 55.767390352776616, 14.743775346593521, 5.245231263226134])","(41.38899409113195, [95.17689318995072, 62.231496476964764, 47.25134601245775, 13.820951465621471, 59.45163069478754])","(40.259717193264464, [85.8274433069412, 78.4186705621256, 53.25170117621186, 45.10766371807135, 54.782243879866144])","(40.14116133312267, [1.515486885320687, 49.3388844317217, 95.91288991105479, 57.039748432163215, 31.180930072002344])","(36.98054998410013, [60.12023601209988, 39.9682718744457, 16.40205631111833, 82.4051459106837, 84.00523213699307])"
"(68.21818838566291, [93.9987333738122, 51.65659452686701, 4.728080996991016, 34.67929520016467, 46.89956852089373])","(65.01083522685074, [51.88267636835349, 83.29152983662614, 41.90381060509894, 18.27791015015579, 98.5402150595572])","(64.21714883333838, [85.89362277645611, 78.42782502244559, 53.286173491483716, 44.54877929548011, 53.95641318575528])","(63.538510500294294, [35.92348127811551, 43.57523607548848, 49.35078983138871, 89.68005049139173, 8.094286303728865])","(60.28026987905515, [62.78019682650395, 5.571617788255995, 37.26306082339252, 97.58900831396144, 41.79237260453699])","(54.60521810772367, [95.74163621804261, 48.35783157846631, 21.924425041741934, 25.31675012290564, 1.5614187038555352])","(52.48454066580346, [59.75066742164291, 77.65278142368733, 56.271380150075856, 14.935288621248956, 4.6843329174792165])","(43.18123940869418, [94.79936405229802, 61.679157667173065, 47.036777393298905, 14.292721175348467, 59.98434754084881])","(38.7907744380303, [60.28472951252417, 40.21625235005715, 17.086966731417625, 82.09453824096012, 84.59333770890004])","(35.20596278394641, [1.9487458155208968, 48.676339634619616, 95.90153457218283, 57.5547356869506, 31.509533594382095])"
"(68.80028201477325, [35.280319939346505, 44.023013752027325, 49.59729061435683, 89.79509896372225, 7.535860070716076])","(68.46656153533908, [52.28590979135812, 83.73996711942215, 42.42252295976286, 18.556836565656827, 99.07821539210846])","(64.71433922535923, [63.28116033680835, 6.155590993847795, 37.74607194310848, 97.46824378996492, 42.19253137861169])","(64.27645923975106, [94.49529877758938, 51.91098657312958, 4.5223085583066425, 34.40882098567275, 47.656674120756])","(61.74258725592342, [85.39849260869228, 78.92308715420361, 53.79438463430131, 44.492839648827854, 53.45826287905547])","(49.53589602475827, [59.25342131897748, 77.87801231035769, 55.67276277347269, 15.519953946283808, 4.641425398273863])","(46.28094509040676, [96.25538544117792, 47.886600765647714, 21.635362623334892, 25.18329629668942, 0.919051012178012])","(38.26410417236791, [94.76911705099229, 61.87434833878702, 47.65120854288562, 15.015577713350455, 59.73749027741054])","(32.494999520889095, [2.0124655026681046, 48.99696183113423, 96.17077410767901, 58.01830299709328, 30.731229906825057])","(31.026005930123315, [60.40859874219932, 39.736998785408595, 16.59151999571923, 81.39647211123147, 84.74236336213737])"
"(66.34744224319601, [34.62375257804578, 44.38954046327315, 49.78772378704577, 90.22473173363632, 7.9981677169577505])","(64.51124530049773, [52.217632882246605, 84.26434026019392, 41.76942844403244, 18.08600051579194, 99.34682671091282])","(62.156305970368884, [95.3138337245094, 52.06272618994968, 4.7648043528197, 33.91427388864524, 47.71662900231783])","(59.376061161300434, [84.71395065299252, 78.52826612189438, 53.64211727657369, 44.88361483552502, 53.01146530904701])","(59.014857647553356, [63.765281782122436, 6.19707962358659, 37.36984052601909, 97.48731284036624, 42.98119570004451])","(57.55027979219867, [59.60444432716165, 78.3685827764281, 56.24981065929951, 15.047769272301737, 4.924587607376781])","(49.096163631347025, [60.685936082160765, 39.039027384507555, 15.984715352991445, 81.60805765019565, 84.89382163577271])","(41.540311383030904, [97.08367656009374, 48.08785160784013, 21.705652749518244, 25.411078118375897, 1.3844612191055647])","(37.46142715609832, [2.2565164605097143, 48.726475294087045, 95.96200695348716, 58.59290958977785, 30.028720332351593])","(32.127304299224264, [94.18035463056299, 62.263243250407115, 48.24729241542311, 15.39675356113021, 59.77633033374837])"
"(68.95099699139502, [59.505217922622464, 78.81177477571931, 55.67083483710153, 15.623048751773611, 4.567410494146914])","(66.27558432650211, [95.09869949808134, 52.94582946023735, 4.8239216759144385, 34.30405392456616, 47.852358676059524])","(63.08656070984996, [84.23823725824431, 78.86256875721897, 53.00382840088379, 44.5077503378022, 53.34799421507776])","(60.80774931008698, [35.12956765631574, 44.75994509194538, 49.83959071875067, 90.81057644146662, 7.487239818565351])","(59.387069254151726, [52.16496389282826, 83.83097523507081, 41.07721715897575, 18.648598831653924, 99.46407603663849])","(53.86963819703349, [63.28501784562349, 5.821485530248075, 36.667877090114416, 97.79210198258859, 43.18765766211992])","(53.39699049630459, [96.9599629039094, 47.990512399662144, 21.988643654509666, 25.05164941592902, 2.259645294243062])","(48.195160665937955, [60.446663035532694, 39.12845335864675, 16.477625279948146, 80.82328604105825, 85.16936605996965])","(43.02191866668711, [2.0328144732542572, 48.007920898572436, 96.47134537272608, 58.21417868189436, 29.853294348855588])","(37.444958778452644, [93.55242386822466, 61.96668387168117, 48.27486456092983, 15.106064487337518, 60.43397395438845])"
