run,gen,nevals,swarmId,partId,part,partError,sbest,sbestError,best,bestError,env
1,1,100,,,,,,,"[17.348396471738056, 12.079650577834224, 19.086149143443798, 17.745302094339255, 2.706919547909059]",67.71364860998558,1
1,2,210,,,,,,,"[17.348396471738056, 12.079650577834224, 19.086149143443798, 17.745302094339255, 2.706919547909059]",67.71364860998558,1
1,3,340,,,,,,,"[21.9627859404741, 21.563336443900397, 1.6388691957302806, 9.954260639945852, 16.132743815806077]",67.70530289803835,1
1,4,470,,,,,,,"[16.339056483914437, 18.972234356961604, 27.123820297968432, 24.387629902959738, 8.142333780034825]",67.6898689449346,1
1,5,600,,,,,,,"[32.11917453328386, 17.78252318042942, 26.51712351339728, 31.838617170870474, 18.488404878383903]",67.66561330377083,1
1,6,730,,,,,,,"[21.37692279395666, 24.072335038628044, 29.59395683618518, 37.98417754331933, -1.4476551500503305]",67.63450496932501,1
1,7,860,,,,,,,"[26.37692279395666, 29.072335038628044, 34.59395683618518, 42.98417754331933, -5.709709407409337]",67.58604952637116,1
1,8,990,,,,,,,"[26.168816439430813, 34.04864296130985, 39.59395683618518, 47.98417754331933, -0.7097094074093366]",67.50899233859313,1
1,9,1120,,,,,,,"[25.33002996369841, 38.83919448063107, 44.59395683618518, 52.98417754331933, 4.290290592590663]",67.40300975688321,1
1,10,1250,,,,,,,"[26.67646638487478, 43.58135659310707, 49.59395683618518, 57.98417754331933, 9.290290592590663]",67.25037988214233,1
1,11,1380,,,,,,,"[29.407054419973306, 48.45465861631633, 54.59395683618518, 62.98417754331933, 14.290290592590663]",67.07982131050065,1
1,12,1510,,,,,,,"[28.766756376899394, 48.36980280670432, 55.193541842112765, 65.57731466316169, 16.095504681866146]",66.99923684773036,1
1,13,1640,,,,,,,"[30.064175896440986, 51.738272270676404, 49.522150996413274, 69.38762990295973, 8.688867611011494]",66.63360218663651,1
1,14,1770,,,,,,,"[35.064175896440986, 56.738272270676404, 54.522150996413274, 74.38762990295973, 5.220204516974404]",66.28916678538376,1
1,15,1900,,,,,,,"[34.12725699419161, 61.85908564094216, 53.87631659294331, 82.71543142622069, 4.290290592590665]",66.14424954861083,1
1,16,2030,,,,,,,"[39.01383884748671, 57.657026949648554, 48.87631659294331, 87.71543142622069, 0.48632363823483615]",65.0710182687884,1
1,17,2160,,,,,,,"[41.440583687947615, 54.95023330917698, 46.11116536415505, 86.14354986033013, 6.073400505468586]",64.0629302510107,1
1,18,2290,,,,,,,"[42.301081143567885, 51.95549920765018, 47.31453084322503, 91.14354986033013, 1.0734005054685856]",63.14082609156038,1
1,19,2420,,,,,,,"[90.39521267352276, 49.17118363507608, -2.461253240743215, 33.69215148829914, 48.28373764793653]",57.99438021423245,1
1,20,2550,,,,,,,"[91.49769555020258, 51.13893202542037, 1.9065725370759772, 32.768077380264344, 42.47288820125921]",56.52511715279261,1
1,21,2680,,,,,,,"[39.209483275513875, 40.99706436045062, 49.94505250413285, 90.6376773957297, 3.955297335879627]",51.29482053281414,1
1,22,2810,,,,,,,"[38.38169541864446, 42.06896807722938, 49.62526696751082, 90.67392282369534, 4.644900268742013]",43.716346164827485,1
1,23,2940,,,,,,,"[89.91234585019815, 51.94205403319783, 3.824004726515499, 35.609483908140845, 46.289110390395464]",39.32724119347274,1
1,24,3070,,,,,,,"[89.91234585019815, 51.94205403319783, 3.824004726515499, 35.609483908140845, 46.289110390395464]",39.32724119347274,1
1,25,3200,,,,,,,"[39.20878553346438, 43.451824764055914, 49.60623436648931, 91.1072959977458, 6.491067305499137]",32.65357447142601,1
1,26,3330,,,,,,,"[39.20878553346438, 43.451824764055914, 49.60623436648931, 91.1072959977458, 6.491067305499137]",32.65357447142601,1
1,27,3460,,,,,,,"[93.28954494757365, 49.746683883057756, 5.287857710541104, 35.84223191686166, 46.19428000944104]",30.444670367388674,1
1,28,3590,,,,,,,"[35.4837077780289, 45.03729461367501, 51.40017411629274, 90.21524616363715, 7.445701769947303]",23.804710214932385,1
1,29,3720,,,,,,,"[35.925831686244756, 45.291002354730416, 51.71665789994401, 89.92571238306654, 7.536904042552529]",20.662189833090757,1
1,30,3850,,,,,,,"[35.925831686244756, 45.291002354730416, 51.71665789994401, 89.92571238306654, 7.536904042552529]",20.662189833090757,1
1,31,3980,,,,,,,"[35.925831686244756, 45.291002354730416, 51.71665789994401, 89.92571238306654, 7.536904042552529]",20.662189833090757,1
1,32,4110,,,,,,,"[36.68002501591291, 44.46565627946681, 51.01347936357653, 89.19452816933767, 6.889592164457311]",12.850006636903224,1
1,33,4240,,,,,,,"[36.68002501591291, 44.46565627946681, 51.01347936357653, 89.19452816933767, 6.889592164457311]",12.850006636903224,1
1,34,4370,,,,,,,"[36.840422863345324, 44.67742927600927, 50.982841503834, 90.3659569849439, 7.367526301840422]",7.892594769344242,1
1,35,4500,,,,,,,"[36.840422863345324, 44.67742927600927, 50.982841503834, 90.3659569849439, 7.367526301840422]",7.892594769344242,1
1,36,4630,,,,,,,"[36.840422863345324, 44.67742927600927, 50.982841503834, 90.3659569849439, 7.367526301840422]",7.892594769344242,1
1,37,4760,,,,,,,"[36.840422863345324, 44.67742927600927, 50.982841503834, 90.3659569849439, 7.367526301840422]",7.892594769344242,1
1,38,4890,,,,,,,"[36.840422863345324, 44.67742927600927, 50.982841503834, 90.3659569849439, 7.367526301840422]",7.892594769344242,1
1,39,5030,,,,,,,"[93.09940832424235, 46.37093093715022, 19.479447229184768, 25.765943630993725, 2.917756965414098]",39.01026164388582,1
1,40,5240,,,,,,,"[40.14510020156242, 44.22605271568484, 50.28019299311628, 90.04160697354185, 6.814197814078462]",29.675869560927026,1
1,41,5370,,,,,,,"[37.37951042682594, 43.68273021339531, 50.3358625256877, 91.13519746858982, 6.618485872329933]",6.579263057426537,1
1,42,5500,,,,,,,"[37.37951042682594, 43.68273021339531, 50.3358625256877, 91.13519746858982, 6.618485872329933]",6.579263057426537,1
1,43,5630,,,,,,,"[37.37951042682594, 43.68273021339531, 50.3358625256877, 91.13519746858982, 6.618485872329933]",6.579263057426537,1
